x,y,memb,phi
6.161616161616162,0.0,-,-1.0
6.262626262626262,0.0,-,-1.0
6.363636363636363,0.0,-,-1.0
6.4646464646464645,0.0,-,-1.0
6.565656565656566,0.0,-,-1.0
6.666666666666667,0.0,-,-1.0
6.767676767676767,0.0,-,-1.0
6.8686868686868685,0.0,-,-1.0
6.96969696969697,0.0,-,-1.0
7.070707070707071,0.0,-,-1.0
7.171717171717171,0.0,-,-1.0
7.2727272727272725,0.0,-,-1.0
7.373737373737374,0.0,-,-1.0
7.474747474747475,0.0,-,-1.0
7.575757575757575,0.0,-,-1.0
7.6767676767676765,0.0,-,-1.0
7.777777777777778,0.0,-,-1.0
7.878787878787879,0.0,-,-1.0
7.979797979797979,0.0,-,-1.0
8.080808080808081,0.0,-,-1.0
8.181818181818182,0.0,-,-1.0
8.282828282828282,0.0,-,-1.0
8.383838383838384,0.0,-,-1.0
8.484848484848484,0.0,-,-1.0
8.585858585858587,0.0,-,-1.0
8.686868686868687,0.0,-,-1.0
8.787878787878787,0.0,-,-1.0
8.88888888888889,0.0,-,-1.0
8.98989898989899,0.0,-,-1.0
9.09090909090909,0.0,-,-1.0
9.191919191919192,0.0,-,-1.0
9.292929292929292,0.0,-,-1.0
9.393939393939394,0.0,-,-1.0
9.494949494949495,0.0,-,-1.0
9.595959595959595,0.0,-,-1.0
9.696969696969697,0.0,-,-1.0
9.797979797979798,0.0,-,-1.0
9.8989898989899,0.0,-,-1.0
10.0,0.0,-,-1.0
0.0,0.1016949152542373,a,0.017845142985141494
0.10101010101010101,0.1016949152542373,a,0.017694302843261258
0.20202020202020202,0.1016949152542373,a,0.01754346270138102
0.30303030303030304,0.1016949152542373,a,0.017392622559500782
0.40404040404040403,0.1016949152542373,a,0.017241782417620543
0.5050505050505051,0.1016949152542373,a,0.017090942275740307
0.6060606060606061,0.1016949152542373,a,0.01694010213386007
0.7070707070707071,0.1016949152542373,a,0.01678926199197983
0.8080808080808081,0.1016949152542373,a,0.016638421850099595
0.9090909090909091,0.1016949152542373,a,0.016487581708219352
1.0101010101010102,0.1016949152542373,a,0.01633674156633912
1.1111111111111112,0.1016949152542373,a,0.016185901424458884
1.2121212121212122,0.1016949152542373,a,0.016035061282578644
1.3131313131313131,0.1016949152542373,a,0.015884221140698408
1.4141414141414141,0.1016949152542373,a,0.015733380998818165
1.5151515151515151,0.1016949152542373,a,0.015582540856937933
1.6161616161616161,0.1016949152542373,a,0.015431700715057691
1.7171717171717171,0.1016949152542373,a,0.015280860573177455
1.8181818181818181,0.1016949152542373,a,0.015130020431297218
1.9191919191919191,0.1016949152542373,a,0.014979180289416982
2.0202020202020203,0.1016949152542373,a,0.014828340147536744
2.121212121212121,0.1016949152542373,a,0.014677500005656504
2.2222222222222223,0.1016949152542373,a,0.01452665986377627
2.323232323232323,0.1016949152542373,a,0.01437581972189603
2.4242424242424243,0.1016949152542373,a,0.014224979580015795
2.525252525252525,0.1016949152542373,a,0.014074139438135555
2.6262626262626263,0.1016949152542373,a,0.013923299296255319
2.727272727272727,0.1016949152542373,a,0.013772459154375081
2.8282828282828283,0.1016949152542373,a,0.013621619012494845
2.929292929292929,0.1016949152542373,a,0.013470778870614607
