pre_str_ratio,hogging,frp_mm,ratio_str,B_Nmm2,M_Nmm,kappa_mm_1,B_pstv,M_pstv
0,TRUE,0.3,0.01,-1.23E+13,-4.40E+06,3.58E-07,1.23E+13,4.40E+06
0,TRUE,0.3,0.1,-1.22E+13,-4.30E+07,3.52E-06,1.22E+13,4.30E+07
0,TRUE,0.3,0.2,-1.21E+13,-8.37E+07,6.91E-06,1.21E+13,8.37E+07
0,TRUE,0.3,0.3,-1.20E+13,-1.22E+08,1.02E-05,1.20E+13,1.22E+08
0,TRUE,0.3,0.4,-1.19E+13,-1.58E+08,1.33E-05,1.19E+13,1.58E+08
0,TRUE,0.3,0.5,-1.17E+13,-1.91E+08,1.63E-05,1.17E+13,1.91E+08
0,TRUE,0.3,0.6,-1.16E+13,-2.21E+08,1.91E-05,1.16E+13,2.21E+08
0,TRUE,0.3,0.7,-1.14E+13,-2.49E+08,2.18E-05,1.14E+13,2.49E+08
0,TRUE,0.3,0.8,-1.13E+13,-2.74E+08,2.43E-05,1.13E+13,2.74E+08
0,TRUE,0.3,0.9,-1.11E+13,-2.95E+08,2.66E-05,1.11E+13,2.95E+08
0,TRUE,0.3,1,-1.09E+13,-3.14E+08,2.88E-05,1.09E+13,3.14E+08
0,TRUE,2,0.01,-1.86E+13,-5.49E+06,2.95E-07,1.86E+13,5.49E+06
0,TRUE,2,0.1,-1.85E+13,-5.36E+07,2.90E-06,1.85E+13,5.36E+07
0,TRUE,2,0.2,-1.83E+13,-1.04E+08,5.70E-06,1.83E+13,1.04E+08
0,TRUE,2,0.3,-1.81E+13,-1.52E+08,8.39E-06,1.81E+13,1.52E+08
0,TRUE,2,0.4,-1.79E+13,-1.96E+08,1.10E-05,1.79E+13,1.96E+08
0,TRUE,2,0.5,-1.76E+13,-2.37E+08,1.34E-05,1.76E+13,2.37E+08
0,TRUE,2,0.6,-1.74E+13,-2.74E+08,1.58E-05,1.74E+13,2.74E+08
0,TRUE,2,0.7,-1.71E+13,-3.08E+08,1.80E-05,1.71E+13,3.08E+08
0,TRUE,2,0.8,-1.68E+13,-3.38E+08,2.01E-05,1.68E+13,3.38E+08
0,TRUE,2,0.9,-1.65E+13,-3.64E+08,2.21E-05,1.65E+13,3.64E+08
0,TRUE,2,1,-1.61E+13,-3.86E+08,2.39E-05,1.61E+13,3.86E+08
0,TRUE,9,0.01,-3.91E+13,-7.96E+06,2.04E-07,3.91E+13,7.96E+06
0,TRUE,9,0.1,-3.86E+13,-7.75E+07,2.01E-06,3.86E+13,7.75E+07
0,TRUE,9,0.2,-3.80E+13,-1.50E+08,3.95E-06,3.80E+13,1.50E+08
0,TRUE,9,0.3,-3.74E+13,-2.18E+08,5.83E-06,3.74E+13,2.18E+08
0,TRUE,9,0.4,-3.67E+13,-2.81E+08,7.63E-06,3.67E+13,2.81E+08
0,TRUE,9,0.5,-3.61E+13,-3.38E+08,9.37E-06,3.61E+13,3.38E+08
0,TRUE,9,0.6,-3.53E+13,-3.90E+08,1.10E-05,3.53E+13,3.90E+08
0,TRUE,9,0.7,-3.45E+13,-4.36E+08,1.26E-05,3.45E+13,4.36E+08
0,TRUE,9,0.8,-3.37E+13,-4.76E+08,1.41E-05,3.37E+13,4.76E+08
0,TRUE,9,0.9,-3.28E+13,-5.10E+08,1.55E-05,3.28E+13,5.10E+08
0,TRUE,9,1,-3.18E+13,-5.37E+08,1.69E-05,3.18E+13,5.37E+08
0.25,TRUE,0.3,0.01,-1.57E+13,-8.29E+07,5.29E-06,1.57E+13,8.29E+07
0.25,TRUE,0.3,0.1,-1.43E+13,-1.18E+08,8.24E-06,1.43E+13,1.18E+08
0.25,TRUE,0.3,0.2,-1.35E+13,-1.54E+08,1.14E-05,1.35E+13,1.54E+08
0.25,TRUE,0.3,0.3,-1.30E+13,-1.88E+08,1.44E-05,1.30E+13,1.88E+08
0.25,TRUE,0.3,0.4,-1.27E+13,-2.20E+08,1.73E-05,1.27E+13,2.20E+08
0.25,TRUE,0.3,0.5,-1.24E+13,-2.48E+08,2.00E-05,1.24E+13,2.48E+08
0.25,TRUE,0.3,0.6,-1.21E+13,-2.74E+08,2.26E-05,1.21E+13,2.74E+08
0.25,TRUE,0.3,0.7,-1.19E+13,-2.96E+08,2.50E-05,1.19E+13,2.96E+08
0.25,TRUE,0.3,0.8,-1.16E+13,-3.15E+08,2.72E-05,1.16E+13,3.15E+08
0.25,TRUE,0.3,0.9,-1.13E+13,-3.31E+08,2.92E-05,1.13E+13,3.31E+08
0.25,TRUE,0.3,1,-1.11E+13,-3.43E+08,3.11E-05,1.11E+13,3.43E+08
0.5,TRUE,0.3,0.01,-1.57E+13,-1.55E+08,9.87E-06,1.57E+13,1.55E+08
