pre_str_ratio,hogging,frp_mm,ratio_str,B_Nmm2,M_Nmm,kappa_mm_1,B_pstv,M_pstv
0.5,TRUE,0.3,0.1,-1.47E+13,-1.86E+08,1.26E-05,1.47E+13,1.86E+08
0.5,TRUE,0.3,0.2,-1.40E+13,-2.18E+08,1.55E-05,1.40E+13,2.18E+08
0.5,TRUE,0.3,0.3,-1.35E+13,-2.47E+08,1.83E-05,1.35E+13,2.47E+08
0.5,TRUE,0.3,0.4,-1.31E+13,-2.74E+08,2.09E-05,1.31E+13,2.74E+08
0.5,TRUE,0.3,0.5,-1.27E+13,-2.97E+08,2.34E-05,1.27E+13,2.97E+08
0.5,TRUE,0.3,0.6,-1.24E+13,-3.17E+08,2.56E-05,1.24E+13,3.17E+08
0.5,TRUE,0.3,0.7,-1.21E+13,-3.34E+08,2.77E-05,1.21E+13,3.34E+08
0.5,TRUE,0.3,0.8,-1.17E+13,-3.47E+08,2.96E-05,1.17E+13,3.47E+08
0.5,TRUE,0.3,0.9,-1.14E+13,-3.57E+08,3.13E-05,1.14E+13,3.57E+08
0.5,TRUE,0.3,1,-1.10E+13,-3.62E+08,3.28E-05,1.10E+13,3.62E+08
0.75,TRUE,0.3,0.01,-1.56E+13,-2.19E+08,1.41E-05,1.56E+13,2.19E+08
0.75,TRUE,0.3,0.1,-1.49E+13,-2.46E+08,1.66E-05,1.49E+13,2.46E+08
0.75,TRUE,0.3,0.2,-1.42E+13,-2.74E+08,1.92E-05,1.42E+13,2.74E+08
0.75,TRUE,0.3,0.3,-1.37E+13,-2.98E+08,2.17E-05,1.37E+13,2.98E+08
0.75,TRUE,0.3,0.4,-1.33E+13,-3.19E+08,2.41E-05,1.33E+13,3.19E+08
0.75,TRUE,0.3,0.5,-1.29E+13,-3.37E+08,2.62E-05,1.29E+13,3.37E+08
0.75,TRUE,0.3,0.6,-1.25E+13,-3.51E+08,2.82E-05,1.25E+13,3.51E+08
0.75,TRUE,0.3,0.7,-1.21E+13,-3.62E+08,2.99E-05,1.21E+13,3.62E+08
0.75,TRUE,0.3,0.8,-1.17E+13,-3.68E+08,3.15E-05,1.17E+13,3.68E+08
0.75,TRUE,0.3,0.9,-1.13E+13,-3.70E+08,3.28E-05,1.13E+13,3.70E+08
0.75,TRUE,0.3,1,-1.08E+13,-3.67E+08,3.39E-05,1.08E+13,3.67E+08
0.25,TRUE,2,0.01,-2.48E+13,-1.05E+08,4.24E-06,2.48E+13,1.05E+08
0.25,TRUE,2,0.1,-2.22E+13,-1.49E+08,6.68E-06,2.22E+13,1.49E+08
0.25,TRUE,2,0.2,-2.09E+13,-1.94E+08,9.29E-06,2.09E+13,1.94E+08
0.25,TRUE,2,0.3,-2.00E+13,-2.35E+08,1.18E-05,2.00E+13,2.35E+08
0.25,TRUE,2,0.4,-1.93E+13,-2.74E+08,1.42E-05,1.93E+13,2.74E+08
0.25,TRUE,2,0.5,-1.88E+13,-3.09E+08,1.64E-05,1.88E+13,3.09E+08
0.25,TRUE,2,0.6,-1.83E+13,-3.40E+08,1.86E-05,1.83E+13,3.40E+08
0.25,TRUE,2,0.7,-1.78E+13,-3.67E+08,2.06E-05,1.78E+13,3.67E+08
0.25,TRUE,2,0.8,-1.74E+13,-3.90E+08,2.24E-05,1.74E+13,3.90E+08
0.25,TRUE,2,0.9,-1.69E+13,-4.08E+08,2.41E-05,1.69E+13,4.08E+08
0.25,TRUE,2,1,-1.64E+13,-4.22E+08,2.57E-05,1.64E+13,4.22E+08
0.5,TRUE,2,0.01,-2.48E+13,-1.96E+08,7.91E-06,2.48E+13,1.96E+08
0.5,TRUE,2,0.1,-2.31E+13,-2.35E+08,1.02E-05,2.31E+13,2.35E+08
0.5,TRUE,2,0.2,-2.18E+13,-2.74E+08,1.26E-05,2.18E+13,2.74E+08
0.5,TRUE,2,0.3,-2.08E+13,-3.10E+08,1.49E-05,2.08E+13,3.10E+08
0.5,TRUE,2,0.4,-2.00E+13,-3.42E+08,1.70E-05,2.00E+13,3.42E+08
0.5,TRUE,2,0.5,-1.94E+13,-3.70E+08,1.91E-05,1.94E+13,3.70E+08
0.5,TRUE,2,0.6,-1.88E+13,-3.94E+08,2.10E-05,1.88E+13,3.94E+08
0.5,TRUE,2,0.7,-1.82E+13,-4.14E+08,2.28E-05,1.82E+13,4.14E+08
0.5,TRUE,2,0.8,-1.76E+13,-4.29E+08,2.44E-05,1.76E+13,4.29E+08
0.5,TRUE,2,0.9,-1.70E+13,-4.39E+08,2.58E-05,1.70E+13,4.39E+08
0.5,TRUE,2,1,-1.64E+13,-4.43E+08,2.71E-05,1.64E+13,4.43E+08
0.75,TRUE,2,0.01,-2.47E+13,-2.78E+08,1.13E-05,2.47E+13,2.78E+08
0.75,TRUE,2,0.1,-2.33E+13,-3.11E+08,1.33E-05,2.33E+13,3.11E+08
0.75,TRUE,2,0.2,-2.21E+13,-3.44E+08,1.55E-05,2.21E+13,3.44E+08
0.75,TRUE,2,0.3,-2.12E+13,-3.73E+08,1.76E-05,2.12E+13,3.73E+08
0.75,TRUE,2,0.4,-2.03E+13,-3.98E+08,1.96E-05,2.03E+13,3.98E+08
0.75,TRUE,2,0.5,-1.96E+13,-4.19E+08,2.14E-05,1.96E+13,4.19E+08
0.75,TRUE,2,0.6,-1.89E+13,-4.35E+08,2.30E-05,1.89E+13,4.35E+08
0.75,TRUE,2,0.7,-1.82E+13,-4.47E+08,2.45E-05,1.82E+13,4.47E+08
0.75,TRUE,2,0.8,-1.75E+13,-4.53E+08,2.59E-05,1.75E+13,4.53E+08
0.75,TRUE,2,0.9,-1.68E+13,-4.53E+08,2.70E-05,1.68E+13,4.53E+08
0.75,TRUE,2,1,-1.60E+13,-4.47E+08,2.79E-05,1.60E+13,4.47E+08
0.25,TRUE,9,0.01,-5.93E+13,-1.61E+08,2.71E-06,5.93E+13,1.61E+08
0.25,TRUE,9,0.1,-5.05E+13,-2.22E+08,4.39E-06,5.05E+13,2.22E+08
0.25,TRUE,9,0.2,-4.60E+13,-2.85E+08,6.20E-06,4.60E+13,2.85E+08
0.25,TRUE,9,0.3,-4.32E+13,-3.44E+08,7.96E-06,4.32E+13,3.44E+08
0.25,TRUE,9,0.4,-4.12E+13,-3.97E+08,9.63E-06,4.12E+13,3.97E+08
0.25,TRUE,9,0.5,-3.95E+13,-4.44E+08,1.12E-05,3.95E+13,4.44E+08
0.25,TRUE,9,0.6,-3.80E+13,-4.86E+08,1.28E-05,3.80E+13,4.86E+08
0.25,TRUE,9,0.7,-3.66E+13,-5.21E+08,1.42E-05,3.66E+13,5.21E+08
0.25,TRUE,9,0.8,-3.53E+13,-5.49E+08,1.56E-05,3.53E+13,5.49E+08
0.25,TRUE,9,0.9,-3.39E+13,-5.71E+08,1.68E-05,3.39E+13,5.71E+08
0.25,TRUE,9,1,-3.25E+13,-5.85E+08,1.80E-05,3.25E+13,5.85E+08
0.5,TRUE,9,0.01,-5.93E+13,-2.99E+08,5.04E-06,5.93E+13,2.99E+08
0.5,TRUE,9,0.1,-5.32E+13,-3.51E+08,6.60E-06,5.32E+13,3.51E+08
0.5,TRUE,9,0.2,-4.89E+13,-4.05E+08,8.29E-06,4.89E+13,4.05E+08
0.5,TRUE,9,0.3,-4.58E+13,-4.54E+08,9.90E-06,4.58E+13,4.54E+08
0.5,TRUE,9,0.4,-4.34E+13,-4.96E+08,1.14E-05,4.34E+13,4.96E+08
0.5,TRUE,9,0.5,-4.13E+13,-5.33E+08,1.29E-05,4.13E+13,5.33E+08
0.5,TRUE,9,0.6,-3.94E+13,-5.63E+08,1.43E-05,3.94E+13,5.63E+08
0.5,TRUE,9,0.7,-3.76E+13,-5.86E+08,1.56E-05,3.76E+13,5.86E+08
0.5,TRUE,9,0.8,-3.59E+13,-6.02E+08,1.68E-05,3.59E+13,6.02E+08
0.5,TRUE,9,0.9,-3.41E+13,-6.10E+08,1.79E-05,3.41E+13,6.10E+08
0.5,TRUE,9,1,-3.23E+13,-6.09E+08,1.89E-05,3.23E+13,6.09E+08
0.75,TRUE,9,0.01,-5.86E+13,-4.20E+08,7.17E-06,5.86E+13,4.20E+08
0.75,TRUE,9,0.1,-5.39E+13,-4.64E+08,8.62E-06,5.39E+13,4.64E+08
0.75,TRUE,9,0.2,-4.99E+13,-5.08E+08,1.02E-05,4.99E+13,5.08E+08
0.75,TRUE,9,0.3,-4.68E+13,-5.45E+08,1.16E-05,4.68E+13,5.45E+08
0.75,TRUE,9,0.4,-4.42E+13,-5.77E+08,1.30E-05,4.42E+13,5.77E+08
0.75,TRUE,9,0.5,-4.19E+13,-6.01E+08,1.43E-05,4.19E+13,6.01E+08
0.75,TRUE,9,0.6,-3.97E+13,-6.18E+08,1.56E-05,3.97E+13,6.18E+08
0.75,TRUE,9,0.7,-3.76E+13,-6.28E+08,1.67E-05,3.76E+13,6.28E+08
0.75,TRUE,9,0.8,-3.55E+13,-6.29E+08,1.77E-05,3.55E+13,6.29E+08
0.75,TRUE,9,0.9,-3.34E+13,-6.22E+08,1.86E-05,3.34E+13,6.22E+08
0.75,TRUE,9,1,-3.12E+13,-6.04E+08,1.94E-05,3.12E+13,6.04E+08
0,TRUE,0,0.01,-1.11E+13,-4.16E+06,3.75E-07,1.11E+13,4.16E+06
0,TRUE,0,0.1,-1.10E+13,-4.06E+07,3.69E-06,1.10E+13,4.06E+07
0,TRUE,0,0.2,-1.09E+13,-7.91E+07,7.24E-06,1.09E+13,7.91E+07
0,TRUE,0,0.3,-1.08E+13,-1.15E+08,1.07E-05,1.08E+13,1.15E+08
0,TRUE,0,0.4,-1.07E+13,-1.49E+08,1.39E-05,1.07E+13,1.49E+08
0,TRUE,0,0.5,-1.06E+13,-1.81E+08,1.70E-05,1.06E+13,1.81E+08
0,TRUE,0,0.6,-1.05E+13,-2.09E+08,2.00E-05,1.05E+13,2.09E+08
0,TRUE,0,0.7,-1.03E+13,-2.36E+08,2.28E-05,1.03E+13,2.36E+08
0,TRUE,0,0.8,-1.02E+13,-2.59E+08,2.54E-05,1.02E+13,2.59E+08
0,TRUE,0,0.9,-1.00E+13,-2.80E+08,2.78E-05,1.00E+13,2.80E+08
0,TRUE,0,1,-9.87E+12,-2.97E+08,3.01E-05,9.87E+12,2.97E+08
0.25,TRUE,0,0.01,-1.40E+13,-7.81E+07,5.57E-06,1.40E+13,7.81E+07
0.25,TRUE,0,0.1,-1.28E+13,-1.11E+08,8.66E-06,1.28E+13,1.11E+08
0.25,TRUE,0,0.2,-1.22E+13,-1.46E+08,1.20E-05,1.22E+13,1.46E+08
0.25,TRUE,0,0.3,-1.17E+13,-1.78E+08,1.51E-05,1.17E+13,1.78E+08
0.25,TRUE,0,0.4,-1.14E+13,-2.07E+08,1.81E-05,1.14E+13,2.07E+08
0.25,TRUE,0,0.5,-1.12E+13,-2.34E+08,2.10E-05,1.12E+13,2.34E+08
0.25,TRUE,0,0.6,-1.09E+13,-2.59E+08,2.37E-05,1.09E+13,2.59E+08
0.25,TRUE,0,0.7,-1.07E+13,-2.80E+08,2.62E-05,1.07E+13,2.80E+08
0.25,TRUE,0,0.8,-1.05E+13,-2.99E+08,2.85E-05,1.05E+13,2.99E+08
0.25,TRUE,0,0.9,-1.03E+13,-3.14E+08,3.06E-05,1.03E+13,3.14E+08
0.25,TRUE,0,1,-1.00E+13,-3.25E+08,3.25E-05,1.00E+13,3.25E+08
0.5,TRUE,0,0.01,-1.40E+13,-1.46E+08,1.04E-05,1.40E+13,1.46E+08
0.5,TRUE,0,0.1,-1.32E+13,-1.75E+08,1.33E-05,1.32E+13,1.75E+08
0.5,TRUE,0,0.2,-1.26E+13,-2.05E+08,1.63E-05,1.26E+13,2.05E+08
0.5,TRUE,0,0.3,-1.21E+13,-2.33E+08,1.92E-05,1.21E+13,2.33E+08
0.5,TRUE,0,0.4,-1.18E+13,-2.58E+08,2.19E-05,1.18E+13,2.58E+08
0.5,TRUE,0,0.5,-1.15E+13,-2.81E+08,2.45E-05,1.15E+13,2.81E+08
0.5,TRUE,0,0.6,-1.12E+13,-3.00E+08,2.69E-05,1.12E+13,3.00E+08
0.5,TRUE,0,0.7,-1.09E+13,-3.16E+08,2.91E-05,1.09E+13,3.16E+08
0.5,TRUE,0,0.8,-1.06E+13,-3.29E+08,3.10E-05,1.06E+13,3.29E+08
0.5,TRUE,0,0.9,-1.03E+13,-3.38E+08,3.28E-05,1.03E+13,3.38E+08
0.5,TRUE,0,1,-9.99E+12,-3.43E+08,3.43E-05,9.99E+12,3.43E+08
0.75,TRUE,0,0.01,-1.40E+13,-2.07E+08,1.48E-05,1.40E+13,2.07E+08
0.75,TRUE,0,0.1,-1.33E+13,-2.32E+08,1.74E-05,1.33E+13,2.32E+08
0.75,TRUE,0,0.2,-1.28E+13,-2.58E+08,2.02E-05,1.28E+13,2.58E+08
0.75,TRUE,0,0.3,-1.23E+13,-2.81E+08,2.28E-05,1.23E+13,2.81E+08
0.75,TRUE,0,0.4,-1.19E+13,-3.01E+08,2.53E-05,1.19E+13,3.01E+08
0.75,TRUE,0,0.5,-1.16E+13,-3.19E+08,2.75E-05,1.16E+13,3.19E+08
0.75,TRUE,0,0.6,-1.12E+13,-3.32E+08,2.96E-05,1.12E+13,3.32E+08
0.75,TRUE,0,0.7,-1.09E+13,-3.42E+08,3.14E-05,1.09E+13,3.42E+08
0.75,TRUE,0,0.8,-1.06E+13,-3.49E+08,3.30E-05,1.06E+13,3.49E+08
0.75,TRUE,0,0.9,-1.02E+13,-3.51E+08,3.44E-05,1.02E+13,3.51E+08
0.75,TRUE,0,1,-9.81E+12,-3.48E+08,3.55E-05,9.81E+12,3.48E+08
