B,B_exp,M,R,nRun,udl,cap_r,nam,nam_set,hog,sag
15700000000000,11100000000000.002,-677205.6282043468,0.2929936305732483,0,3000,0.0022801536303176657,C1_2_3000,C1_2,s2,s12
15700000000000,11100000000000.002,-1214830.2162170422,0.2929936305732483,0,3000,0.004090337428340209,C1_2_3000,C1_2,s2,s12
15700000000000,11100000000000.002,-1742762.6879692127,0.2929936305732483,0,3000,0.0058678878382801775,C1_2_3000,C1_2,s2,s12
15700000000000,11100000000000.002,-2261201.279449464,0.2929936305732483,0,3000,0.007613472321378666,C1_2_3000,C1_2,s2,s12
15700000000000,11100000000000.002,-2769993.576812745,0.2929936305732483,0,3000,0.009326577699706212,C1_2_3000,C1_2,s2,s12
15700000000000,11100000000000.002,-3269226.249980931,0.2929936305732483,0,3000,0.011007495791181586,C1_2_3000,C1_2,s2,s12
15700000000000,11100000000000.002,-3758791.428375245,0.2929936305732483,0,3000,0.012655863395202846,C1_2_3000,C1_2,s2,s12
15700000000000,11099783761894.404,-4238797.165679933,0.2930074037009934,0,3000,0.014272044328888662,C1_2_3000,C1_2,s2,s12
15700000000000,11098492845560.404,-4709207.077789308,0.2930896276713118,0,3000,0.015855916086832685,C1_2_3000,C1_2,s2,s12
15700000000000,11097228386727.178,-5169975.876617433,0.29317016645049826,0,3000,0.01740732618389708,C1_2_3000,C1_2,s2,s12
15700000000000,11095990101284.045,-5621207.092094451,0.2932490381347742,0,3000,0.018926623205705224,C1_2_3000,C1_2,s2,s12
15700000000000,11094778215131.96,-6062818.405914308,0.2933262283355439,0,3000,0.020413529986243458,C1_2_3000,C1_2,s2,s12
15700000000000,11093592753612.383,-6494800.583648683,0.29340173543870174,0,3000,0.021868015433160547,C1_2_3000,C1_2,s2,s12
15700000000000,11092433624307.36,-6917187.302398683,0.29347556533074143,0,3000,0.0232901929373693,C1_2_3000,C1_2,s2,s12
15700000000000,11091300702600.658,-7330023.972320558,0.29354772594900264,0,3000,0.024680215395018714,C1_2_3000,C1_2,s2,s12
15700000000000,11090194363680.945,-7733173.874664308,0.2936181933961181,0,3000,0.026037622473617197,C1_2_3000,C1_2,s2,s12
15700000000000,11089114113733.877,-8126816.955375701,0.2936869991252308,0,3000,0.027363020051770038,C1_2_3000,C1_2,s2,s12
15700000000000,11088060431912.756,-8510778.610992434,0.29375411261702195,0,3000,0.02865582023903176,C1_2_3000,C1_2,s2,s12
15700000000000,11087032841074.22,-8885232.712554934,0.2938195642627885,0,3000,0.029916608459780922,C1_2_3000,C1_2,s2,s12
15700000000000,11086031831012.732,-9250000.778961184,0.29388332286543106,0,3000,0.031144783767546074,C1_2_3000,C1_2,s2,s12
15700000000000,11085057153835.78,-9605173.142242434,0.29394540421428156,0,3000,0.03234065031058059,C1_2_3000,C1_2,s2,s12
15700000000000,11084108684927.129,-9950795.212554934,0.2940058162466797,0,3000,0.03350436098503345,C1_2_3000,C1_2,s2,s12
15700000000000,11083186590402.502,-10286806.457328826,0.29406454838200624,0,3000,0.03463571197753813,C1_2_3000,C1_2,s2,s12
15700000000000,11082290869039.71,-10613207.321929934,0.2941216006981076,0,3000,0.035734704787642874,C1_2_3000,C1_2,s2,s12
15700000000000,11081421522060.945,-10929997.360992434,0.29417697311713725,0,3000,0.03680133791579944,C1_2_3000,C1_2,s2,s12
15700000000000,11080578507966.715,-11237191.696929934,0.2942306682823749,0,3000,0.037835662279225364,C1_2_3000,C1_2,s2,s12
15700000000000,11079761825417.06,-11534790.818023684,0.2942826862791681,0,3000,0.03883767952196526,C1_2_3000,C1_2,s2,s12
15700000000000,11078971475751.943,-11822794.235992434,0.29433302702216924,0,3000,0.039807387999974526,C1_2_3000,C1_2,s2,s12
15700000000000,11078207406673.684,-12101221.008110076,0.29438169384244056,0,3000,0.04074485187915851,C1_2_3000,C1_2,s2,s12
15700000000000,11077469773735.357,-12370014.450836184,0.29442867683214285,0,3000,0.04164988030584574,C1_2_3000,C1_2,s2,s12
15700000000000,11076758547340.084,-12629185.349273684,0.29447397787642776,0,3000,0.042522509593514085,C1_2_3000,C1_2,s2,s12
15700000000000,11076073526533.193,-12878806.931304934,0.29451760977495584,0,3000,0.043362986300690014,C1_2_3000,C1_2,s2,s12
15700000000000,11075414965906.992,-13118786.423492434,0.29455955631165653,0,3000,0.044170998058897085,C1_2_3000,C1_2,s2,s12
15700000000000,11074782610869.174,-13349216.599273684,0.2945998337026004,0,3000,0.04494685723661173,C1_2_3000,C1_2,s2,s12
15700000000000,11074176776310.225,-13569982.712554934,0.2946384218910685,0,3000,0.04569017748334994,C1_2_3000,C1_2,s2,s12
15700000000000,11073597123181.127,-13781208.312797576,0.2946753424725397,0,3000,0.04640137479056423,C1_2_3000,C1_2,s2,s12
15700000000000,11073043916911.64,-13982796.677398684,0.29471057854065985,0,3000,0.04708012349292486,C1_2_3000,C1_2,s2,s12
