Mx,My,N
-27.21182003,-8.844435321,40
-27.49410032,-7.944636726,40
-27.77638061,-7.083317246,40
-28.00220484,-6.239797901,40
-28.19980104,-5.417745829,40
-28.39739725,-4.617955391,40
-28.53853739,-3.827183822,40
-28.65144951,-3.048009194,40
-28.7361336,-2.27790709,40
-28.82081768,-1.516078444,40
-28.87727374,-0.757438027,40
-28.90550177,3.92126E-19,40
-28.87727374,0.757438027,40
-28.82081768,1.516078444,40
-28.7361336,2.27790709,40
-28.65144951,3.048009194,40
-28.53853739,3.827183822,40
-28.39739725,4.617955391,40
-28.19980104,5.417745829,40
-28.00220484,6.239797901,40
-27.77638061,7.083317246,40
-27.49410032,7.944636726,40
-27.21182003,8.844435321,40
-26.87308368,9.771780504,40
-26.44966324,10.71974648,40
-25.46168222,11.47412796,40
-24.16319289,12.09342954,40
-22.61065129,12.56813373,40
-20.94519757,12.94524905,40
-19.2232878,13.24225008,40
-17.48726401,13.47719966,40
-15.77946825,13.67880471,40
-14.08578651,13.83599444,40
-12.40496332,13.94464636,40
-10.77099706,14.04344446,40
-9.172031094,14.12812855,40
-7.601614395,14.19869862,40
-6.06011791,14.2692687,40
-4.533503537,14.32572475,40
-3.017334073,14.3680668,40
-1.50747921,14.39629483,40
-1.44245E-11,14.42452286,40
2.04566E-11,20.45660754,100
2.178298136,20.4158167,100
4.359866486,20.37502586,100
6.546983761,20.30364188,100
8.746527295,20.21186249,100
10.97025828,20.10988538,100
13.20827843,19.96711743,100
15.48487536,19.81415177,100
17.8031524,19.64079069,100
20.17107164,19.44501517,100
22.57773135,19.20817588,100
25.00478649,18.91258894,100
27.39105077,18.51794746,100
29.73652422,18.03707828,100
31.95962514,17.43449752,100
33.97877185,16.68986688,100
35.69198723,15.78531894,100
36.79333998,14.63469306,100
37.73152936,13.46513291,100
38.52695079,12.28930141,100
39.13881343,11.09921395,100
39.64869896,9.922932039,100
40.09739823,8.768888068,100
40.50530666,7.637206682,100
40.8316334,6.516553832,100
41.11716929,5.411539787,100
41.32112351,4.314116143,100
41.52507772,3.230488233,100
41.64745025,2.150076092,100
41.72903193,1.074185442,100
41.76982277,-5.56107E-19,100
41.72903193,-1.074185442,100
41.64745025,-2.150076092,100
41.52507772,-3.230488233,100
41.32112351,-4.314116143,100
41.11716929,-5.411539787,100
40.8316334,-6.516553832,100
40.50530666,-7.637206682,100
40.09739823,-8.768888068,100
39.64869896,-9.922932039,100
39.13881343,-11.09921395,100
38.52695079,-12.28930141,100
37.73152936,-13.46513291,100
36.79333998,-14.63469306,100
35.69198723,-15.78531894,100
33.97877185,-16.68986688,100
31.95962514,-17.43449752,100
29.73652422,-18.03707828,100
27.39105077,-18.51794746,100
25.00478649,-18.91258894,100
22.57773135,-19.20817588,100
20.17107164,-19.44501517,100
17.8031524,-19.64079069,100
15.48487536,-19.81415177,100
13.20827843,-19.96711743,100
10.97025828,-20.10988538,100
8.746527295,-20.21186249,100
6.546983761,-20.30364188,100
4.359866486,-20.37502586,100
2.178298136,-20.4158167,100
2.04566E-11,-20.45660754,100
-2.04566E-11,-20.45660754,100
-2.179386197,-20.42601441,100
-4.359866486,-20.37502586,100
-6.546983761,-20.30364188,100
-8.746527295,-20.21186249,100
-10.97025828,-20.10988538,100
-13.20827843,-19.96711743,100
-15.48487536,-19.81415177,100
-17.8031524,-19.64079069,100
-20.17107164,-19.44501517,100
-22.57773135,-19.20817588,100
-25.00478649,-18.91258894,100
-27.39105077,-18.51794746,100
-29.73652422,-18.03707828,100
-31.95962514,-17.43449752,100
-33.97877185,-16.68986688,100
-35.69198723,-15.78531894,100
-36.79333998,-14.63469306,100
-37.73152936,-13.46513291,100
-38.52695079,-12.28930141,100
-39.13881343,-11.09921395,100
-39.64869896,-9.922932039,100
-40.09739823,-8.768888068,100
-40.50530666,-7.637206682,100
-40.8316334,-6.516553832,100
-41.11716929,-5.411539787,100
-41.34151893,-4.31624552,100
-41.52507772,-3.230488233,100
-41.64745025,-2.150076092,100
-41.72903193,-1.074185442,100
-41.76982277,5.56107E-19,100
-41.72903193,1.074185442,100
-41.64745025,2.150076092,100
-41.52507772,3.230488233,100
-41.34151893,4.31624552,100
-41.11716929,5.411539787,100
-40.8316334,6.516553832,100
-40.50530666,7.637206682,100
-40.09739823,8.768888068,100
-39.64869896,9.922932039,100
-39.13881343,11.09921395,100
-38.52695079,12.28930141,100
-37.73152936,13.46513291,100
-36.79333998,14.63469306,100
-35.69198723,15.78531894,100
-33.97877185,16.68986688,100
-31.95962514,17.43449752,100
-29.73652422,18.03707828,100
-27.39105077,18.51794746,100
-25.00478649,18.91258894,100
-22.57773135,19.20817588,100
-20.17107164,19.44501517,100
-17.8031524,19.64079069,100
-15.48487536,19.81415177,100
-13.20827843,19.96711743,100
-10.97025828,20.10988538,100
-8.746527295,20.21186249,100
-6.546983761,20.30364188,100
-4.359866486,20.37502586,100
-2.179386197,20.42601441,100
-2.04566E-11,20.45660754,100
