Preexisting_strain_ratio;Hogging;FRP_thickness_mm;ratio_of_strain;B_Nmm2;M_Nmm;kappa_mm_1
0;FALSE;0.3;0.000000001;-9165431362948.04;-0.316802;0.00000000000003456485
0;FALSE;0.3;0.1;-9056113877475.14;-31302321.410086;0.00000345648495961860
0;FALSE;0.3;0.2;-8946796390909.07;-61848934.323894;0.00000691296991923720
0;FALSE;0.3;0.3;-8837478904343.00;-91639838.741425;0.00001036945487885580
0;FALSE;0.3;0.4;-8728161417776.93;-120675034.662677;0.00001382593983847440
0;FALSE;0.3;0.5;-8618843931210.86;-148954522.087652;0.00001728242479809300
0;FALSE;0.3;0.6;-8509526444644.79;-176478301.016349;0.00002073890975771160
0;FALSE;0.3;0.7;-8400208958078.72;-203246371.448768;0.00002419539471733020
0;FALSE;0.3;0.8;-8290891471512.65;-229258733.384909;0.00002765187967694880
0;FALSE;0.3;0.9;-8181573984946.58;-254515386.824772;0.00003110836463656740
0;FALSE;0.3;1;-8072256498380.51;-279016331.768357;0.00003456484959618600
0;FALSE;2;0.000000001;-15781577182371.00;-0.545488;0.00000000000003456485
0;FALSE;2;0.1;-15672259696898.10;-54170929.925565;0.00000345648495961860
0;FALSE;2;0.2;-15562942210332.00;-107586151.354852;0.00000691296991923720
0;FALSE;2;0.3;-15453624723765.90;-160245664.287861;0.00001036945487885580
0;FALSE;2;0.4;-15344307237199.80;-212149468.724592;0.00001382593983847440
0;FALSE;2;0.5;-15234989750633.80;-263297564.665046;0.00001728242479809300
0;FALSE;2;0.6;-15125672264067.70;-313689952.109221;0.00002073890975771160
0;FALSE;2;0.7;-15016354777501.60;-363326631.057119;0.00002419539471733020
0;FALSE;2;0.8;-14907037290935.60;-412207601.508739;0.00002765187967694880
0;FALSE;2;0.9;-14797719804369.50;-460332863.464081;0.00003110836463656740
0;FALSE;2;1;-14688402317803.40;-507702416.923145;0.00003456484959618600
0;FALSE;9;0.000000001;-43024530556465.30;-1.487136;0.00000000000003456485
0;FALSE;9;0.1;-42915213070992.40;-148335788.518713;0.00000345648495961860
0;FALSE;9;0.2;-42805895584426.40;-295915868.541148;0.00000691296991923720
0;FALSE;9;0.3;-42696578097860.30;-442740240.067305;0.00001036945487885580
0;FALSE;9;0.4;-42587260611294.20;-588808903.097184;0.00001382593983847440
0;FALSE;9;0.5;-42477943124728.10;-734121857.630786;0.00001728242479809300
0;FALSE;9;0.6;-42368625638162.10;-878679103.668109;0.00002073890975771160
0;FALSE;9;0.7;-42259308151596.00;-1022480641.209150;0.00002419539471733020
0;FALSE;9;0.8;-42149990665029.90;-1165526470.253920;0.00002765187967694880
0;FALSE;9;0.9;-42040673178463.90;-1307816590.802410;0.00003110836463656740
0;FALSE;9;1;-41931355691897.80;-1449351002.854620;0.00003456484959618600
0.25;FALSE;0.3;0.000000001;5852950738117490000000.00;202306361.956917;0.00000000000003456485
0.25;FALSE;0.3;0.1;-8795894433228.68;-30402876.814848;0.00000345648495961860
0.25;FALSE;0.3;0.2;-10488943972227.60;-72509754.164574;0.00000691296991923720
0.25;FALSE;0.3;0.3;-9941358660256.61;-103086470.062053;0.00001036945487885580
0.25;FALSE;0.3;0.4;-9497781999925.13;-131315762.529910;0.00001382593983847440
0.25;FALSE;0.3;0.5;-9161276410412.06;-158329070.617490;0.00001728242479809300
0.25;FALSE;0.3;0.6;-8891769289529.08;-184405600.881935;0.00002073890975771160
0.25;FALSE;0.3;0.7;-8664501986295.71;-209641045.587516;0.00002419539471733020
0.25;FALSE;0.3;0.8;-8465055376907.36;-234074692.740951;0.00002765187967694880
0.25;FALSE;0.3;0.9;-8284803483092.63;-257726687.694349;0.00003110836463656740
0.25;FALSE;0.3;1;-8118255165324.96;-280606268.772917;0.00003456484959618600
0.5;FALSE;0.3;0.000000001;10396207237270600000000.00;359343339.527039;0.00000000000003456485
0.5;FALSE;0.3;0.1;21097258387569.70;72922356.305822;0.00000345648495961860
0.5;FALSE;0.3;0.2;-7880346696758.10;-54476599.667849;0.00000691296991923720
0.5;FALSE;0.3;0.3;-9594868206450.08;-99493552.935352;0.00001036945487885580
0.5;FALSE;0.3;0.4;-9525329225415.35;-131696628.812255;0.00001382593983847440
0.5;FALSE;0.3;0.5;-9238015152553.49;-159655302.157649;0.00001728242479809300
