Preexisting_strain_ratio;Hogging;FRP_thickness_mm;ratio_of_strain;B_Nmm2;M_Nmm;kappa_mm_1
0.25;TRUE;2;0.01;5852950728347120000000.000;202306361.6192050000;0.0000000000
0.25;TRUE;2;0.1;-18566262082199.700;-64174005.6434603000;0.0000034565
0.25;TRUE;2;0.2;-20259311621198.600;-140052011.8217980000;0.0000069130
0.25;TRUE;2;0.3;-19711726309227.600;-204399856.5478900000;0.0000103695
0.25;TRUE;2;0.4;-19268149648896.100;-266400277.8443590000;0.0000138259
0.25;TRUE;2;0.5;-18931644059383.000;-327184714.7605510000;0.0000172824
0.25;TRUE;2;0.6;-18662136938500.100;-387032373.8536090000;0.0000207389
0.25;TRUE;2;0.7;-18434869635266.700;-446038947.3878030000;0.0000241954
0.25;TRUE;2;0.8;-18235423025878.300;-504243723.3698490000;0.0000276519
0.25;TRUE;2;0.9;-18055171132063.600;-561666847.1518600000;0.0000311084
0.25;TRUE;2;1;-17888622814295.900;-618317557.0590410000;0.0000345648
0.5;TRUE;2;0.01;10396207227500200000000.000;359343339.1893280000;0.0000000000
0.5;TRUE;2;0.1;11326890738598.700;39151227.4772096000;0.0000034565
0.5;TRUE;2;0.2;-17650714345729.100;-122018857.3250740000;0.0000069130
0.5;TRUE;2;0.3;-19365235855421.100;-200806939.4211890000;0.0000103695
0.5;TRUE;2;0.4;-19295696874386.300;-266781144.1267040000;0.0000138259
0.5;TRUE;2;0.5;-19008382801524.500;-328510946.3007110000;0.0000172824
0.5;TRUE;2;0.6;-18714256298595.100;-388113272.5592500000;0.0000207389
0.5;TRUE;2;0.7;-18446109890074.100;-446310909.7895920000;0.0000241954
0.5;TRUE;2;0.8;-18205192065078.400;-503407780.4792920000;0.0000276519
0.5;TRUE;2;0.9;-17987055527155.600;-559547882.0769420000;0.0000311084
0.5;TRUE;2;1;-17787078084019.700;-614807678.7297590000;0.0000345648
0.75;TRUE;2;0.01;13629769379174100000000.000;471110928.6218550000;0.0000000000
0.75;TRUE;2;0.1;63808740090358.100;220553950.4145350000;0.0000034565
0.75;TRUE;2;0.2;-8079355426984.050;-55852341.0335666000;0.0000069130
0.75;TRUE;2;0.3;-16735166609258.500;-173534555.0448400000;0.0000103695
0.75;TRUE;2;0.4;-18229583357400.300;-252041122.7798710000;0.0000138259
0.75;TRUE;2;0.5;-18439449857829.000;-318678405.4861360000;0.0000172824
0.75;TRUE;2;0.6;-18332082127574.100;-380187396.9147170000;0.0000207389
0.75;TRUE;2;0.7;-18138740242280.700;-438873979.8371030000;0.0000241954
0.75;TRUE;2;0.8;-17926630023204.100;-495705016.4148160000;0.0000276519
0.75;TRUE;2;0.9;-17716786287962.600;-551140248.0340780000;0.0000311084
0.75;TRUE;2;1;-17515557166752.800;-605422599.0622080000;0.0000345648
0.25;TRUE;9;0.01;5852950701104170000000.000;202306360.6775570000;0.0000000000
0.25;TRUE;9;0.1;-45809215456294.000;-158338864.2366080000;0.0000034565
0.25;TRUE;9;0.2;-47502264995292.900;-328381729.0080940000;0.0000069130
0.25;TRUE;9;0.3;-46954679683322.000;-486894432.3273340000;0.0000103695
0.25;TRUE;9;0.4;-46511103022990.500;-643059712.2169510000;0.0000138259
0.25;TRUE;9;0.5;-46174597433477.400;-798009007.7262910000;0.0000172824
0.25;TRUE;9;0.6;-45905090312594.400;-952021525.4124970000;0.0000207389
0.25;TRUE;9;0.7;-45677823009361.100;-1105192957.5398400000;0.0000241954
0.25;TRUE;9;0.8;-45478376399972.700;-1257562592.1150300000;0.0000276519
0.25;TRUE;9;0.9;-45298124506158.000;-1409150574.4901900000;0.0000311084
0.25;TRUE;9;1;-45131576188390.300;-1559966142.9905200000;0.0000345648
0.5;TRUE;9;0.01;10396207200257300000000.000;359343338.2476790000;0.0000000000
0.5;TRUE;9;0.1;-15916062635495.700;-55013631.1159384000;0.0000034565
0.5;TRUE;9;0.2;-44893667719823.500;-310348574.5113700000;0.0000069130
0.5;TRUE;9;0.3;-46608189229515.400;-483301515.2006330000;0.0000103695
0.5;TRUE;9;0.4;-46538650248480.700;-643440578.4992960000;0.0000138259
0.5;TRUE;9;0.5;-46251336175618.800;-799335239.2664510000;0.0000172824
0.5;TRUE;9;0.6;-45957209672689.500;-953102424.1181370000;0.0000207389
0.5;TRUE;9;0.7;-45689063264168.500;-1105464919.9416300000;0.0000241954
0.5;TRUE;9;0.8;-45448145439172.800;-1256726649.2244800000;0.0000276519
0.5;TRUE;9;0.9;-45230008901250.000;-1407031609.4152700000;0.0000311084
0.5;TRUE;9;1;-45030031458114.100;-1556456264.6612400000;0.0000345648
0.75;TRUE;9;0.01;13629769351931200000000.000;471110927.6802060000;0.0000000000
0.75;TRUE;9;0.1;36565786716263.700;126389091.8213870000;0.0000034565
0.75;TRUE;9;0.2;-35322308801078.400;-244182058.2198620000;0.0000069130
0.75;TRUE;9;0.3;-43978119983352.900;-456029130.8242840000;0.0000103695
0.75;TRUE;9;0.4;-45472536731494.700;-628700557.1524630000;0.0000138259
0.75;TRUE;9;0.5;-45682403231923.300;-789502698.4518750000;0.0000172824
0.75;TRUE;9;0.6;-45575035501668.500;-945176548.4736050000;0.0000207389
0.75;TRUE;9;0.7;-45381693616375.100;-1098027989.9891400000;0.0000241954
0.75;TRUE;9;0.8;-45169583397298.400;-1249023885.1600000000;0.0000276519
0.75;TRUE;9;0.9;-44959739662057.000;-1398623975.3724100000;0.0000311084
0.75;TRUE;9;1;-44758510540847.200;-1547071184.9936900000;0.0000345648
